URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/306.smp/MS_F1_[266.1-266.3].channel/MS_F1_[266.1-266.3].chm
Channel	MS_F1_[266.1-266.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H3F_conc
Number	7
Position	5
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:47:11 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500490
Time Max. (min)	6.996633
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	25756054.000000
Channel	MS_F1_[266.1-266.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500490	n.a.	0.000000
2.503890	0.204	0.000000
2.507292	0.2041	0.000000
2.510692	0.204	0.000000
2.514093	0.2041	13213.420898
2.517495	0.2041	0.000000
2.520895	0.204	0.000000
2.524297	0.2041	0.000000
2.527698	0.2041	0.000000
2.531098	0.204	0.000000
2.534500	0.2041	0.000000
2.537900	0.204	0.000000
2.541302	0.2041	0.000000
2.544703	0.2041	0.000000
2.548103	0.204	0.000000
2.551505	0.2041	0.000000
2.554905	0.204	0.000000
2.558307	0.2041	0.000000
2.561708	0.2041	0.000000
2.565108	0.204	0.000000
2.568510	0.2041	0.000000
2.571910	0.204	0.000000
2.575312	0.2041	0.000000
2.578713	0.2041	0.000000
2.582113	0.204	0.000000
2.585515	0.2041	13234.416016
2.588917	0.2041	0.000000
2.592317	0.204	0.000000
2.595718	0.2041	0.000000
2.599118	0.204	0.000000
2.602520	0.2041	0.000000
2.605922	0.2041	0.000000
2.609322	0.204	11795.982422
2.612723	0.2041	0.000000
2.616123	0.204	0.000000
2.619525	0.2041	23166.929688
2.622927	0.2041	0.000000
2.626327	0.204	0.000000
2.629728	0.2041	0.000000
2.633128	0.204	0.000000
2.636530	0.2041	0.000000
2.639932	0.2041	5087.108398
2.643332	0.204	0.000000
2.646733	0.2041	12915.729492
2.650133	0.204	0.000000
2.653535	0.2041	0.000000
2.656937	0.2041	16902.154297
2.660337	0.204	0.000000
2.663738	0.2041	0.000000
2.667140	0.2041	0.000000
2.670540	0.204	0.000000
2.673942	0.2041	0.000000
2.677342	0.204	0.000000
2.680743	0.2041	0.000000
2.684145	0.2041	14787.644531
2.687545	0.204	9193.616211
2.690947	0.2041	0.000000
2.694347	0.204	0.000000
2.697748	0.2041	0.000000
2.701150	0.2041	0.000000
2.704550	0.204	0.000000
2.707952	0.2041	0.000000
2.711352	0.204	0.000000
2.714753	0.2041	0.000000
2.718155	0.2041	5423.397461
2.721555	0.204	0.000000
2.724957	0.2041	0.000000
2.728357	0.204	14654.485352
2.731758	0.2041	0.000000
2.735160	0.2041	0.000000
2.738560	0.204	0.000000
2.741962	0.2041	0.000000
2.745363	0.2041	0.000000
2.748763	0.204	0.000000
2.752165	0.2041	0.000000
2.755565	0.204	18549.734375
2.758967	0.2041	20638.863281
2.762368	0.2041	8132.871094
2.765768	0.204	0.000000
2.769170	0.2041	0.000000
2.772570	0.204	0.000000
2.775972	0.2041	19050.658203
2.779373	0.2041	17835.462891
2.782773	0.204	0.000000
2.786175	0.2041	18232.564453
2.789575	0.204	17643.005859
2.792977	0.2041	0.000000
