URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/177.smp/MS_F1_[364.0-364.3].channel/MS_F1_[364.0-364.3].chm
Channel	MS_F1_[364.0-364.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	3807.857666
Channel	MS_F1_[364.0-364.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500672	n.a.	0.000000
2.504073	0.2041	0.000000
2.507473	0.204	0.000000
2.510875	0.2041	0.000000
2.514275	0.204	0.000000
2.517677	0.2041	0.000000
2.521078	0.2041	0.000000
2.524478	0.204	0.000000
2.527880	0.2041	0.000000
2.531280	0.204	0.000000
2.534682	0.2041	0.000000
2.538083	0.2041	0.000000
2.541483	0.204	0.208081
2.544885	0.2041	0.000000
2.548287	0.2041	759.817139
2.551687	0.204	862.666382
2.555088	0.2041	4.175509
2.558488	0.204	114.621124
2.561890	0.2041	283.738617
2.565292	0.2041	0.000000
2.568692	0.204	0.000000
2.572093	0.2041	10.168241
2.575493	0.204	0.000000
2.578895	0.2041	73.012138
2.582297	0.2041	63.644039
2.585697	0.204	43.986118
2.589098	0.2041	54.550865
2.592498	0.204	0.000000
2.595900	0.2041	0.000000
2.599302	0.2041	0.000000
2.602702	0.204	0.000000
2.606103	0.2041	0.000000
2.609505	0.2041	0.000000
2.612905	0.204	0.000000
2.616307	0.2041	0.000000
2.619707	0.204	0.000000
2.623108	0.2041	0.000000
2.626510	0.2041	0.000000
2.629910	0.204	80.706718
2.633312	0.2041	0.000000
2.636712	0.204	8.770851
2.640113	0.2041	0.000000
2.643515	0.2041	0.000000
2.646915	0.204	0.000000
2.650317	0.2041	0.000000
2.653717	0.204	0.000000
2.657118	0.2041	0.000000
2.660520	0.2041	0.000000
2.663920	0.204	0.000000
2.667322	0.2041	0.000000
2.670722	0.204	0.000000
2.674123	0.2041	0.000000
2.677525	0.2041	0.000000
2.680925	0.204	0.000000
2.684327	0.2041	0.000000
2.687728	0.2041	0.000000
2.691128	0.204	1311.089355
2.694530	0.2041	2679.005615
2.697930	0.204	0.000000
2.701332	0.2041	0.000000
2.704733	0.2041	155.563705
2.708133	0.204	0.000000
2.711535	0.2041	0.000000
2.714935	0.204	23.675621
2.718337	0.2041	0.000000
2.721738	0.2041	0.000000
2.725138	0.204	0.000000
2.728540	0.2041	0.000000
2.731940	0.204	2666.157227
2.735342	0.2041	3793.985840
2.738743	0.2041	984.312195
2.742143	0.204	0.000000
2.745545	0.2041	0.000000
2.748947	0.2041	104.076126
2.752347	0.204	103.602623
2.755748	0.2041	242.490753
2.759148	0.204	97.270744
2.762550	0.2041	0.000000
2.765952	0.2041	0.000000
2.769352	0.204	14.759336
2.772753	0.2041	0.000000
2.776153	0.204	0.000000
2.779555	0.2041	0.000000
2.782957	0.2041	0.000000
2.786357	0.204	0.000000
2.789758	0.2041	0.000000
2.793158	0.204	0.000000
2.796560	0.2041	0.000000
