Chromatogram RI	
X:	Y:
1.65333	-0.002
1.65500	-0.005
1.65667	-0.005
1.65833	-0.001
1.66000	0.004
1.66167	0.008
1.66333	0.010
1.66500	0.007
1.66667	0.002
1.66833	0.000
1.67000	-0.001
1.67167	-0.004
1.67333	-0.002
1.67500	-0.001
1.67667	-0.005
1.67833	-0.009
1.68000	-0.005
1.68167	0.001
1.68333	0.008
1.68500	0.012
1.68667	0.010
1.68833	-0.002
1.69000	-0.010
1.69167	-0.012
1.69333	-0.009
1.69500	-0.003
1.69667	0.000
1.69833	0.001
1.70000	0.003
1.70167	0.000
1.70333	0.001
1.70500	0.008
1.70667	0.005
1.70833	0.001
1.71000	-0.006
1.71167	-0.010
1.71333	-0.009
1.71500	-0.007
1.71667	-0.007
1.71833	-0.002
1.72000	0.003
1.72167	0.002
1.72333	0.005
1.72500	0.008
1.72667	0.007
1.72833	0.005
1.73000	-0.001
1.73167	-0.001
1.73333	-0.004
1.73500	-0.005
1.73667	-0.006
1.73833	-0.007
1.74000	-0.002
1.74167	0.005
1.74333	0.006
1.74500	0.010
1.74667	0.009
1.74833	-0.001
1.75000	-0.008
1.75167	-0.008
1.75333	-0.010
1.75500	-0.006
1.75667	-0.003
1.75833	0.000
1.76000	0.003
1.76167	0.007
1.76333	0.013
1.76500	0.019
1.76667	0.023
1.76833	0.016
1.77000	0.009
1.77167	0.004
1.77333	0.000
1.77500	-0.002
1.77667	0.003
1.77833	0.005
1.78000	0.008
1.78167	0.008
1.78333	0.009
1.78500	0.012
1.78667	0.015
1.78833	0.013
1.79000	0.008
1.79167	0.007
1.79333	0.003
1.79500	-0.004
1.79667	-0.008
1.79833	-0.004
1.80000	0.002
1.80167	0.007
1.80333	0.011
1.80500	0.015
1.80667	0.016
1.80833	0.014
1.81000	0.011
1.81167	0.009
1.81333	0.007
1.81500	0.002
1.81667	0.000
1.81833	-0.004
1.82000	-0.006
1.82167	-0.001
1.82333	0.007
1.82500	0.014
1.82667	0.021
1.82833	0.023
1.83000	0.014
1.83167	-0.001
1.83333	-0.001
1.83500	-0.001
1.83667	0.001
1.83833	0.005
1.84000	0.007
1.84167	0.007
1.84333	0.005
1.84500	0.007
1.84667	0.012
1.84833	0.016
1.85000	0.015
1.85167	0.011
1.85333	0.007
1.85500	0.001
1.85667	-0.002
1.85833	-0.001
1.86000	0.005
1.86167	0.006
1.86333	0.007
1.86500	0.009
1.86667	0.010
1.86833	0.011
1.87000	0.011
1.87167	0.009
1.87333	0.006
1.87500	0.005
1.87667	0.002
1.87833	-0.003
1.88000	-0.006
1.88167	-0.002
1.88333	0.006
1.88500	0.009
1.88667	0.010
1.88833	0.012
1.89000	0.010
1.89167	0.003
1.89333	0.001
1.89500	-0.004
1.89667	-0.005
1.89833	-0.005
1.90000	-0.006
1.90167	-0.011
1.90333	-0.008
1.90500	-0.003
1.90667	0.004
1.90833	0.010
1.91000	0.016
1.91167	0.006
1.91333	-0.003
1.91500	-0.008
1.91667	-0.008
1.91833	-0.005
1.92000	-0.002
1.92167	0.001
1.92333	0.000
1.92500	0.001
1.92667	-0.002
1.92833	0.003
1.93000	0.009
1.93167	0.009
1.93333	0.006
1.93500	0.001
1.93667	-0.005
1.93833	-0.007
1.94000	-0.006
1.94167	-0.001
1.94333	0.004
1.94500	0.006
1.94667	0.003
1.94833	-0.001
1.95000	0.003
1.95167	0.006
1.95333	0.004
1.95500	0.002
1.95667	0.001
1.95833	-0.001
1.96000	-0.006
1.96167	-0.006
1.96333	-0.001
1.96500	0.003
1.96667	0.008
1.96833	0.012
1.97000	0.012
1.97167	0.010
1.97333	0.005
1.97500	0.000
1.97667	-0.003
1.97833	-0.003
1.98000	-0.003
1.98167	-0.001
1.98333	-0.006
1.98500	-0.011
1.98667	-0.009
1.98833	0.000
1.99000	0.007
1.99167	0.008
1.99333	0.002
1.99500	-0.005
1.99667	-0.012
1.99833	-0.013
2.00000	-0.009
2.00167	-0.005
2.00333	0.000
2.00500	0.004
2.00667	0.008
2.00833	0.005
2.01000	0.009
2.01167	0.017
2.01333	0.016
2.01500	0.013
2.01667	0.010
2.01833	0.002
2.02000	-0.004
2.02167	-0.005
2.02333	-0.006
2.02500	-0.001
2.02667	0.005
2.02833	0.007
2.03000	0.005
2.03167	-0.001
2.03333	-0.001
2.03500	-0.002
2.03667	-0.005
2.03833	-0.007
2.04000	-0.011
2.04167	-0.012
2.04333	-0.010
2.04500	-0.006
2.04667	-0.006
2.04833	-0.001
2.05000	0.003
2.05167	0.006
2.05333	0.006
2.05500	0.001
2.05667	-0.005
2.05833	-0.005
2.06000	-0.005
2.06167	-0.002
2.06333	-0.001
2.06500	-0.001
2.06667	0.001
2.06833	0.002
2.07000	0.007
2.07167	0.013
2.07333	0.022
2.07500	0.018
2.07667	0.011
2.07833	0.001
2.08000	-0.007
2.08167	-0.006
2.08333	-0.002
2.08500	0.000
2.08667	0.003
2.08833	0.006
2.09000	0.003
2.09167	0.005
2.09333	0.009
2.09500	0.006
2.09667	0.003
2.09833	-0.001
2.10000	-0.004
2.10167	-0.006
2.10333	-0.006
2.10500	-0.002
2.10667	0.004
2.10833	0.012
2.11000	0.016
2.11167	0.018
2.11333	0.018
2.11500	0.016
2.11667	0.012
2.11833	0.013
2.12000	0.015
2.12167	0.011
2.12333	0.006
2.12500	0.003
2.12667	0.002
2.12833	0.007
2.13000	0.016
2.13167	0.021
2.13333	0.025
2.13500	0.031
2.13667	0.021
2.13833	0.009
2.14000	0.003
2.14167	0.006
2.14333	0.009
2.14500	0.012
2.14667	0.010
2.14833	0.006
2.15000	0.003
2.15167	0.006
2.15333	0.012
2.15500	0.015
2.15667	0.015
2.15833	0.013
2.16000	0.007
2.16167	0.000
2.16333	0.002
2.16500	0.006
2.16667	0.013
2.16833	0.015
2.17000	0.016
2.17167	0.018
2.17333	0.014
2.17500	0.015
2.17667	0.019
2.17833	0.016
2.18000	0.011
2.18167	0.009
2.18333	0.003
2.18500	0.001
2.18667	0.002
2.18833	0.003
2.19000	0.007
2.19167	0.008
2.19333	0.010
2.19500	0.017
2.19667	0.020
2.19833	0.014
2.20000	0.012
2.20167	0.012
2.20333	0.011
2.20500	0.013
2.20667	0.013
2.20833	0.008
2.21000	0.007
2.21167	0.011
2.21333	0.011
2.21500	0.018
2.21667	0.024
2.21833	0.021
2.22000	0.011
2.22167	0.003
2.22333	0.000
2.22500	0.003
2.22667	0.006
2.22833	0.011
2.23000	0.009
2.23167	0.007
2.23333	0.006
2.23500	0.010
2.23667	0.013
2.23833	0.015
2.24000	0.012
2.24167	0.003
2.24333	-0.003
2.24500	-0.004
2.24667	-0.001
2.24833	0.005
2.25000	0.011
2.25167	0.017
2.25333	0.020
2.25500	0.019
2.25667	0.015
2.25833	0.016
2.26000	0.013
2.26167	0.009
2.26333	0.005
2.26500	0.003
2.26667	0.000
2.26833	0.000
2.27000	0.001
2.27167	0.005
2.27333	0.012
2.27500	0.020
2.27667	0.026
2.27833	0.025
2.28000	0.016
2.28167	0.012
2.28333	0.010
2.28500	0.007
2.28667	0.004
2.28833	0.005
2.29000	0.003
2.29167	0.002
2.29333	0.004
2.29500	0.009
2.29667	0.019
2.29833	0.027
2.30000	0.024
2.30167	0.018
2.30333	0.010
2.30500	0.007
2.30667	0.007
2.30833	0.008
2.31000	0.009
2.31167	0.013
2.31333	0.016
2.31500	0.014
2.31667	0.015
2.31833	0.022
2.32000	0.019
2.32167	0.015
2.32333	0.009
2.32500	0.000
2.32667	-0.005
2.32833	-0.005
2.33000	0.001
2.33167	0.008
2.33333	0.010
2.33500	0.014
2.33667	0.013
2.33833	0.013
2.34000	0.013
2.34167	0.010
2.34333	0.005
2.34500	0.005
2.34667	0.003
2.34833	0.005
2.35000	0.003
2.35167	0.003
2.35333	0.008
2.35500	0.015
2.35667	0.020
2.35833	0.023
2.36000	0.023
2.36167	0.015
2.36333	0.008
2.36500	0.005
2.36667	0.007
2.36833	0.007
2.37000	0.007
2.37167	0.010
2.37333	0.013
2.37500	0.011
2.37667	0.012
2.37833	0.019
2.38000	0.026
2.38167	0.029
2.38333	0.022
2.38500	0.009
2.38667	0.002
2.38833	0.003
2.39000	0.007
2.39167	0.010
2.39333	0.010
2.39500	0.008
2.39667	0.007
2.39833	0.004
2.40000	0.010
2.40167	0.016
2.40333	0.014
2.40500	0.005
2.40667	0.002
2.40833	0.000
2.41000	-0.005
2.41167	-0.005
2.41333	0.000
2.41500	0.005
2.41667	0.007
2.41833	0.008
2.42000	0.010
2.42167	0.007
2.42333	0.005
2.42500	0.000
2.42667	-0.002
2.42833	-0.004
2.43000	-0.005
2.43167	-0.010
2.43333	-0.009
2.43500	-0.004
2.43667	0.003
2.43833	0.014
2.44000	0.024
2.44167	0.023
2.44333	0.017
2.44500	0.005
2.44667	0.001
2.44833	-0.001
2.45000	0.001
2.45167	0.003
2.45333	0.003
2.45500	0.004
2.45667	0.003
2.45833	0.005
2.46000	0.007
2.46167	0.013
2.46333	0.017
2.46500	0.013
2.46667	0.005
2.46833	-0.002
2.47000	-0.005
2.47167	-0.003
2.47333	0.000
